/scratch/users/karoraw1@jhu.edu/Processed_data_group/SERC_051717_Shotgun_Metagenomes/Virus_Coverage/viral_genomes.fasta /scratch/users/karoraw1@jhu.edu/Processed_data_group/SERC_051717_Shotgun_Metagenomes/CoAssembly/final.contigs.fa
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[NAME R]	[NAME Q]
19123	20592	1746	234	1470	1513	86.50	41098	2276	3.58	66.48	NC_028671.2	k141_1790837
35613	36812	22861	21662	1200	1200	96.67	41338	27453	2.90	4.37	NC_028696.2	k141_1599327
1	8982	1326	10307	8982	8982	96.99	40740	60683	22.05	14.80	NC_028699.1	k141_1316283
17177	19978	20082	22883	2802	2802	97.93	40740	60683	6.88	4.62	NC_028699.1	k141_1316283
37616	39005	2593	1204	1390	1390	97.34	40740	2593	3.41	53.61	NC_028699.1	k141_120993
16711	17891	7032	5851	1181	1182	99.66	43098	11278	2.74	10.48	NC_028775.1	k141_1424657
35322	37044	101393	99670	1723	1724	90.97	38392	444891	4.49	0.39	NC_028871.1	k141_597702
4166	6026	9417	11278	1861	1862	98.98	43228	11278	4.31	16.51	NC_028915.1	k141_1424657
21303	26348	7309	12354	5046	5046	98.93	43228	27401	11.67	18.42	NC_028915.1	k141_982663
561	3445	26706	23821	2885	2886	96.47	41931	27401	6.88	10.53	NC_028917.1	k141_982663
29578	33462	110414	106527	3885	3888	95.71	40759	444891	9.53	0.87	NC_028929.1	k141_597702
19881	20974	723	1816	1094	1094	96.89	29237	41270	3.74	2.65	NC_028943.1	k141_1946111
6791	7996	1206	1	1206	1206	92.54	32894	1206	3.67	100.00	NC_029047.1	k141_146026
8418	9615	2406	1209	1198	1198	93.07	32894	2406	3.64	49.79	NC_029047.1	k141_212348
10515	12155	1	1644	1641	1644	92.09	32894	1644	4.99	100.00	NC_029047.1	k141_439903
25013	26184	1	1171	1172	1171	91.47	32894	1171	3.56	100.00	NC_029047.1	k141_167975
31495	32572	1	1078	1078	1078	91.00	32894	1078	3.28	100.00	NC_029047.1	k141_937848
23834	25030	38693	37499	1197	1195	80.33	48666	53507	2.46	2.23	NC_029066.1	k141_1426494
120801	122124	1326	2	1324	1325	99.92	127726	1331	1.04	99.55	NC_029119.1	k141_1049487
122047	124139	1	2093	2093	2093	99.95	127726	2093	1.64	100.00	NC_029119.1	k141_841396
11295	12513	1249	32	1219	1218	90.67	60875	4077	2.00	29.87	NC_029120.1	k141_598943
32755	35644	26346	29236	2890	2891	94.68	50183	56476	5.76	5.12	NC_030909.1	k141_1670041
1	3137	29773	26637	3137	3137	98.47	49033	54365	6.40	5.77	NC_030929.1	k141_2490027
31330	32701	1331	26	1372	1306	87.19	49033	1469	2.80	88.90	NC_030929.1	k141_1587718
33003	34566	53514	51951	1564	1564	97.83	49033	54365	3.19	2.88	NC_030929.1	k141_2490027
11932	13267	2	1337	1336	1336	78.90	32637	2030	4.09	65.81	NC_030940.1	k141_857043
1	8607	25752	17146	8607	8607	98.09	43277	53414	19.89	16.11	NC_031091.1	k141_1209211
9185	10513	1745	417	1329	1329	88.56	43277	1933	3.07	68.75	NC_031091.1	k141_2047064
38229	39463	55740	56974	1235	1235	94.17	103445	57229	1.19	2.16	NC_031129.1	k141_2160164
58480	62218	99342	103080	3739	3739	94.14	103445	105836	3.61	3.53	NC_031129.1	k141_1208228
95428	96484	1017	2073	1057	1057	85.01	194437	2392	0.54	44.19	NC_031235.1	k141_2509850
97436	98533	1	1098	1098	1098	84.11	194437	1148	0.56	95.64	NC_031235.1	k141_1454538
98354	100023	1670	1	1670	1670	95.93	194437	1670	0.86	100.00	NC_031235.1	k141_1134532
99889	101907	2019	1	2019	2019	84.84	194437	2019	1.04	100.00	NC_031235.1	k141_2158
113657	115238	4164	2583	1582	1582	80.13	194437	5853	0.81	27.03	NC_031235.1	k141_1427840
113674	115067	1394	1	1394	1394	83.38	194437	2468	0.72	56.48	NC_031235.1	k141_2242691
121009	122294	7	1286	1286	1280	81.02	194437	1286	0.66	99.53	NC_031235.1	k141_12540
160882	161995	1114	1	1114	1114	85.28	194437	1114	0.57	100.00	NC_031235.1	k141_1757208
172179	173898	17	1736	1720	1720	88.39	194437	1736	0.88	99.08	NC_031235.1	k141_971000
178383	179684	1311	1	1302	1311	87.34	194437	1937	0.67	67.68	NC_031235.1	k141_295601
1	1007	3517	4523	1007	1007	99.40	174307	4523	0.58	22.26	NC_031242.1	k141_1898292
1595	3726	2337	209	2132	2129	98.08	174307	2337	1.22	91.10	NC_031242.1	k141_1462612
3967	6459	1	2493	2493	2493	99.08	174307	5143	1.43	48.47	NC_031242.1	k141_563022
6642	9118	2689	5143	2477	2455	97.01	174307	5143	1.42	47.73	NC_031242.1	k141_563022
10134	11427	1288	1	1294	1288	98.45	174307	1288	0.74	100.00	NC_031242.1	k141_2149283
11205	12767	1	1563	1563	1563	96.55	174307	1563	0.90	100.00	NC_031242.1	k141_2004211
13608	18123	497	5010	4516	4514	97.87	174307	5094	2.59	88.61	NC_031242.1	k141_1591778
18377	23201	4936	112	4825	4825	98.49	174307	4936	2.77	97.75	NC_031242.1	k141_877472
23163	25729	1	2567	2567	2567	98.95	174307	2567	1.47	100.00	NC_031242.1	k141_1761540
25903	27428	1526	1	1526	1526	99.41	174307	1526	0.88	100.00	NC_031242.1	k141_2240994
27723	29653	1931	1	1931	1931	98.55	174307	1931	1.11	100.00	NC_031242.1	k141_1382124
29649	31663	3	2018	2015	2016	97.72	174307	2018	1.16	99.90	NC_031242.1	k141_1030124
31669	32887	1219	1	1219	1219	99.10	174307	1219	0.70	100.00	NC_031242.1	k141_1140817
32829	38946	6118	1	6118	6118	99.22	174307	6118	3.51	100.00	NC_031242.1	k141_925286
39382	40629	1	1248	1248	1248	98.16	174307	1248	0.72	100.00	NC_031242.1	k141_510803
40607	42514	1033	2945	1908	1913	92.55	174307	5081	1.09	37.65	NC_031242.1	k141_1693548
42717	44008	3088	4379	1292	1292	97.29	174307	5081	0.74	25.43	NC_031242.1	k141_1693548
44715	53700	8982	1	8986	8982	97.86	174307	8982	5.16	100.00	NC_031242.1	k141_848790
53284	54906	1	1623	1623	1623	98.27	174307	1623	0.93	100.00	NC_031242.1	k141_1649705
55741	59327	3587	1	3587	3587	99.61	174307	3587	2.06	100.00	NC_031242.1	k141_893939
59297	60938	1	1642	1642	1642	99.45	174307	1642	0.94	100.00	NC_031242.1	k141_2180616
61576	63546	1	1971	1971	1971	99.29	174307	2429	1.13	81.14	NC_031242.1	k141_46028
63451	65230	1780	1	1780	1780	98.15	174307	1780	1.02	100.00	NC_031242.1	k141_1620119
65181	74943	1	9763	9763	9763	99.44	174307	9763	5.60	100.00	NC_031242.1	k141_1028171
75489	77686	2198	1	2198	2198	97.82	174307	2204	1.26	99.73	NC_031242.1	k141_257881
77546	83417	5872	1	5872	5872	99.01	174307	5872	3.37	100.00	NC_031242.1	k141_2040858
83643	86914	3	3274	3272	3272	98.62	174307	3275	1.88	99.91	NC_031242.1	k141_1660692
86903	88308	1	1406	1406	1406	99.22	174307	1406	0.81	100.00	NC_031242.1	k141_514626
88289	90586	2298	1	2298	2298	95.39	174307	2298	1.32	100.00	NC_031242.1	k141_1807681
90352	91811	1457	1	1460	1457	87.24	174307	1457	0.84	100.00	NC_031242.1	k141_650610
96855	98656	762	2564	1802	1803	98.95	174307	2564	1.03	70.32	NC_031242.1	k141_1314794
100257	101258	1854	2855	1002	1002	86.95	174307	4843	0.57	20.69	NC_031242.1	k141_1389019
101308	102634	220	1549	1327	1330	94.75	174307	1991	0.76	66.80	NC_031242.1	k141_2432879
104060	106097	2038	1	2038	2038	96.57	174307	2038	1.17	100.00	NC_031242.1	k141_2378339
106117	109169	3053	1	3053	3053	99.41	174307	3053	1.75	100.00	NC_031242.1	k141_1991686
109222	112652	3428	1	3431	3428	99.07	174307	3428	1.97	100.00	NC_031242.1	k141_1516852
113438	114976	86	1624	1539	1539	99.42	174307	1624	0.88	94.77	NC_031242.1	k141_503065
114995	118615	1	3621	3621	3621	99.45	174307	3621	2.08	100.00	NC_031242.1	k141_570757
121216	123686	2613	143	2471	2471	97.90	174307	2613	1.42	94.57	NC_031242.1	k141_2456734
123634	125522	1	1889	1889	1889	97.51	174307	1889	1.08	100.00	NC_031242.1	k141_2533659
125384	128204	1	2821	2821	2821	97.34	174307	2821	1.62	100.00	NC_031242.1	k141_1460558
128664	130292	1640	12	1629	1629	98.77	174307	1640	0.93	99.33	NC_031242.1	k141_2552932
130713	131973	180	1437	1261	1258	86.88	174307	1449	0.72	86.82	NC_031242.1	k141_414823
135526	136697	1172	1	1172	1172	99.23	174307	1220	0.67	96.07	NC_031242.1	k141_1735968
136602	138367	1	1766	1766	1766	99.32	174307	1766	1.01	100.00	NC_031242.1	k141_1196645
140034	141116	1080	1	1083	1080	96.03	174307	1080	0.62	100.00	NC_031242.1	k141_2318796
142130	143660	1531	1	1531	1531	98.17	174307	1531	0.88	100.00	NC_031242.1	k141_859186
144090	147071	1	2982	2982	2982	99.36	174307	2982	1.71	100.00	NC_031242.1	k141_1371896
148225	149727	1678	173	1503	1506	98.94	174307	2713	0.86	55.51	NC_031242.1	k141_331009
150124	152274	1	2147	2151	2147	97.96	174307	2155	1.23	99.63	NC_031242.1	k141_1043715
152394	154410	2017	1	2017	2017	97.92	174307	2020	1.16	99.85	NC_031242.1	k141_13020
154467	155553	1087	1	1087	1087	99.54	174307	1088	0.62	99.91	NC_031242.1	k141_1122657
155727	157049	1	1323	1323	1323	99.24	174307	1325	0.76	99.85	NC_031242.1	k141_917205
157733	159506	6	1783	1774	1778	97.98	174307	1783	1.02	99.72	NC_031242.1	k141_522621
159557	160987	1643	211	1431	1433	98.33	174307	1643	0.82	87.22	NC_031242.1	k141_733347
160965	162031	6	1072	1067	1067	97.56	174307	1081	0.61	98.70	NC_031242.1	k141_1607163
162580	164110	1	1569	1531	1569	91.66	174307	1569	0.88	100.00	NC_031242.1	k141_1650963
165860	168678	1	2819	2819	2819	98.97	174307	2820	1.62	99.96	NC_031242.1	k141_308794
169020	170411	1392	1	1392	1392	98.28	174307	1392	0.80	100.00	NC_031242.1	k141_1141762
170791	174307	1	3516	3517	3516	97.81	174307	4523	2.02	77.74	NC_031242.1	k141_1898292
2559	3770	747	1958	1212	1212	85.30	198190	2547	0.61	47.59	NC_031906.1	k141_2155407
15053	16434	645	2023	1382	1379	81.07	198190	3268	0.70	42.20	NC_031906.1	k141_309004
21144	22383	1242	3	1240	1240	86.81	198190	2125	0.63	58.35	NC_031906.1	k141_1563944
50515	51770	8849	10104	1256	1256	82.12	198190	14282	0.63	8.79	NC_031906.1	k141_1362881
50707	51742	6	1041	1036	1036	86.28	198190	1044	0.52	99.23	NC_031906.1	k141_71067
67729	69114	1401	16	1386	1386	82.79	198190	2948	0.70	47.01	NC_031906.1	k141_346586
85100	86477	3346	1969	1378	1378	81.07	198190	23954	0.70	5.75	NC_031906.1	k141_1113165
90521	92682	2162	1	2162	2162	83.47	198190	2371	1.09	91.19	NC_031906.1	k141_843661
101150	102290	2394	1269	1141	1126	80.91	198190	2394	0.58	47.03	NC_031906.1	k141_818130
111792	113145	9577	8227	1354	1351	81.62	198190	9580	0.68	14.10	NC_031906.1	k141_1111018
112413	113612	10	1209	1200	1200	81.95	198190	1209	0.61	99.26	NC_031906.1	k141_2089441
120922	122075	1154	1	1154	1154	83.12	198190	1287	0.58	89.67	NC_031906.1	k141_1585539
121603	124285	181	2863	2683	2683	82.70	198190	3069	1.35	87.42	NC_031906.1	k141_155188
122038	123468	1437	4	1431	1434	85.98	198190	1437	0.72	99.79	NC_031906.1	k141_398017
131839	133520	6029	4342	1682	1688	83.38	198190	6029	0.85	28.00	NC_031906.1	k141_1924929
136364	137882	1523	6	1519	1518	83.69	198190	6029	0.77	25.18	NC_031906.1	k141_1924929
138951	140376	1426	1	1426	1426	86.09	198190	1426	0.72	100.00	NC_031906.1	k141_2273372
143977	145007	1067	37	1031	1031	84.58	198190	1084	0.52	95.11	NC_031906.1	k141_1207524
143977	145271	8253	6962	1295	1292	80.92	198190	15582	0.65	8.29	NC_031906.1	k141_15937
159458	162192	237	2968	2735	2732	79.66	198190	2976	1.38	91.80	NC_031906.1	k141_949484
163270	165082	14	1826	1813	1813	83.54	198190	1829	0.91	99.13	NC_031906.1	k141_1301728
192337	193612	1705	431	1276	1275	83.09	198190	1705	0.64	74.78	NC_031906.1	k141_886299
139627	140629	1003	1	1003	1003	81.39	174830	1003	0.57	100.00	NC_031922.1	k141_1448538
172587	174222	1	1633	1636	1633	80.97	174830	1708	0.94	95.61	NC_031922.1	k141_986191
45960	47497	1544	1	1538	1544	95.08	186386	1592	0.83	96.98	NC_031935.1	k141_2377916
58323	60037	152	1875	1715	1724	83.91	186386	2616	0.92	65.90	NC_031935.1	k141_2431569
72599	74608	1167	3178	2010	2012	80.24	186386	6982	1.08	28.82	NC_031935.1	k141_15751
100211	101301	1091	1	1091	1091	87.45	186386	1091	0.59	100.00	NC_031935.1	k141_1222051
101636	102805	1	1179	1170	1179	90.76	186386	1875	0.63	62.88	NC_031935.1	k141_542331
108578	109826	1329	81	1249	1249	85.77	186386	1329	0.67	93.98	NC_031935.1	k141_744409
109397	110620	10	1230	1224	1221	83.42	186386	1408	0.66	86.72	NC_031935.1	k141_2370138
109640	111008	1373	8	1369	1366	86.54	186386	1374	0.73	99.42	NC_031935.1	k141_84077
111595	113360	9	1776	1766	1768	84.89	186386	1784	0.95	99.10	NC_031935.1	k141_1448137
118697	119751	1054	1	1055	1054	86.97	186386	1054	0.57	100.00	NC_031935.1	k141_2321477
119313	122705	4504	7897	3393	3394	82.52	186386	14736	1.82	23.03	NC_031935.1	k141_1186280
121321	122325	1	1008	1005	1008	89.42	186386	1008	0.54	100.00	NC_031935.1	k141_584338
122668	123778	1118	1	1111	1118	90.99	186386	1146	0.60	97.56	NC_031935.1	k141_1384904
127956	129650	296	1988	1695	1693	85.79	186386	2348	0.91	72.10	NC_031935.1	k141_2049931
130915	132234	1320	1	1320	1320	83.84	186386	1399	0.71	94.35	NC_031935.1	k141_1304620
151935	152977	4861	3819	1043	1043	82.82	186386	9837	0.56	10.60	NC_031935.1	k141_710678
153576	154975	7	1403	1400	1397	84.25	186386	1406	0.75	99.36	NC_031935.1	k141_637058
164091	165292	1920	719	1202	1202	95.43	186386	1920	0.64	62.60	NC_031935.1	k141_1080813
173696	174751	263	1318	1056	1056	82.63	186386	1942	0.57	54.38	NC_031935.1	k141_847483
174627	175682	1146	117	1056	1030	88.86	186386	1157	0.57	89.02	NC_031935.1	k141_2102566
180695	181779	1084	1	1085	1084	87.74	186386	1610	0.58	67.33	NC_031935.1	k141_862869
185098	186264	1	1167	1167	1167	87.76	186386	1167	0.63	100.00	NC_031935.1	k141_210623
65478	67571	47900	49993	2094	2094	98.95	77375	74762	2.71	2.80	NC_031940.1	k141_2511612
71003	73102	54508	56607	2100	2100	98.29	77375	74762	2.71	2.81	NC_031940.1	k141_2511612
23315	24737	1060	2480	1423	1421	85.13	185102	2480	0.77	57.30	NC_031944.1	k141_1390693
23315	25475	2159	1	2161	2159	84.66	185102	6930	1.17	31.15	NC_031944.1	k141_311869
23691	24904	58	1268	1214	1211	81.99	185102	1271	0.66	95.28	NC_031944.1	k141_708161
23727	24887	15786	14626	1161	1161	79.25	185102	53347	0.63	2.18	NC_031944.1	k141_634327
29563	31304	1497	3242	1742	1746	79.85	185102	11127	0.94	15.69	NC_031944.1	k141_32274
67529	69224	1861	166	1696	1696	80.46	185102	8087	0.92	20.97	NC_031944.1	k141_613665
83973	85985	5636	7646	2013	2011	85.01	185102	21772	1.09	9.24	NC_031944.1	k141_207600
83973	85484	1513	1	1512	1513	86.13	185102	7148	0.82	21.17	NC_031944.1	k141_539650
94205	95640	5220	3785	1436	1436	84.51	185102	13797	0.78	10.41	NC_031944.1	k141_120458
114923	115972	74	1123	1050	1050	84.05	185102	1123	0.57	93.50	NC_031944.1	k141_811634
118541	119901	2615	3984	1361	1370	84.53	185102	4513	0.74	30.36	NC_031944.1	k141_1145336
118637	119900	72861	74118	1264	1258	85.16	185102	106003	0.68	1.19	NC_031944.1	k141_1096269
165434	166445	1	1012	1012	1012	81.41	185102	3036	0.55	33.33	NC_031944.1	k141_790246
169336	170376	711	1751	1041	1041	84.66	185102	2222	0.56	46.85	NC_031944.1	k141_636460
